trial,min_weight_on_accessible,max_blocked,sum_blocked
222,0.197005,0.0000000000,0.0000000000
223,0.195454,0.0000000000,0.0000000000
224,0.198635,0.0000000000,0.0000000000
225,0.197823,0.0000000000,0.0000000000
226,0.193179,0.0000000000,0.0000000000
227,0.199638,0.0000000000,0.0000000000
228,0.197704,0.0000000000,0.0000000000
229,0.192342,0.0000000000,0.0000000000
230,0.198379,0.0000000000,0.0000000000
231,0.194819,0.0000000000,0.0000000000
232,0.198720,0.0000000000,0.0000000000
233,0.194410,0.0000000000,0.0000000000
234,0.198403,0.0000000000,0.0000000000
235,0.197710,0.0000000000,0.0000000000
236,0.195962,0.0000000000,0.0000000000
237,0.191632,0.0000000000,0.0000000000
238,0.197027,0.0000000000,0.0000000000
239,0.197859,0.0000000000,0.0000000000
240,0.197751,0.0000000000,0.0000000000
241,0.194218,0.0000000000,0.0000000000
242,0.196333,0.0000000000,0.0000000000
243,0.196215,0.0000000000,0.0000000000
244,0.196329,0.0000000000,0.0000000000
245,0.197182,0.0000000000,0.0000000000
246,0.188112,0.0000000000,0.0000000000
247,0.197593,0.0000000000,0.0000000000
248,0.194254,0.0000000000,0.0000000000
249,0.195761,0.0000000000,0.0000000000
250,0.197708,0.0000000000,0.0000000000
251,0.192925,0.0000000000,0.0000000000
252,0.198415,0.0000000000,0.0000000000
253,0.198611,0.0000000000,0.0000000000
254,0.196155,0.0000000000,0.0000000000
255,0.194210,0.0000000000,0.0000000000
256,0.197031,0.0000000000,0.0000000000
257,0.199495,0.0000000000,0.0000000000
258,0.196767,0.0000000000,0.0000000000
259,0.197717,0.0000000000,0.0000000000
260,0.194926,0.0000000000,0.0000000000
261,0.198461,0.0000000000,0.0000000000
262,0.194918,0.0000000000,0.0000000000
263,0.197608,0.0000000000,0.0000000000
264,0.198729,0.0000000000,0.0000000000
265,0.195012,0.0000000000,0.0000000000
266,0.197850,0.0000000000,0.0000000000
267,0.197467,0.0000000000,0.0000000000
268,0.194767,0.0000000000,0.0000000000
269,0.194540,0.0000000000,0.0000000000
270,0.195400,0.0000000000,0.0000000000
271,0.196544,0.0000000000,0.0000000000
272,0.197478,0.0000000000,0.0000000000
273,0.198314,0.0000000000,0.0000000000
274,0.199467,0.0000000000,0.0000000000
275,0.198784,0.0000000000,0.0000000000
276,0.196822,0.0000000000,0.0000000000
277,0.197119,0.0000000000,0.0000000000
278,0.193339,0.0000000000,0.0000000000
279,0.198288,0.0000000000,0.0000000000
280,0.199861,0.0000000000,0.0000000000
281,0.194478,0.0000000000,0.0000000000
282,0.194553,0.0000000000,0.0000000000
283,0.199258,0.0000000000,0.0000000000
284,0.199420,0.0000000000,0.0000000000
285,0.197619,0.0000000000,0.0000000000
286,0.194101,0.0000000000,0.0000000000
287,0.198715,0.0000000000,0.0000000000
288,0.195545,0.0000000000,0.0000000000
289,0.196413,0.0000000000,0.0000000000
290,0.199191,0.0000000000,0.0000000000
291,0.197546,0.0000000000,0.0000000000
292,0.193809,0.0000000000,0.0000000000
293,0.197026,0.0000000000,0.0000000000
294,0.197343,0.0000000000,0.0000000000
295,0.195815,0.0000000000,0.0000000000
296,0.198845,0.0000000000,0.0000000000
297,0.197503,0.0000000000,0.0000000000
298,0.197635,0.0000000000,0.0000000000
299,0.193367,0.0000000000,0.0000000000
300,0.197295,0.0000000000,0.0000000000
301,0.198948,0.0000000000,0.0000000000
302,0.197045,0.0000000000,0.0000000000
303,0.197111,0.0000000000,0.0000000000
304,0.199176,0.0000000000,0.0000000000
305,0.198437,0.0000000000,0.0000000000
306,0.194492,0.0000000000,0.0000000000
307,0.196923,0.0000000000,0.0000000000
308,0.196429,0.0000000000,0.0000000000
309,0.196600,0.0000000000,0.0000000000
310,0.198305,0.0000000000,0.0000000000
311,0.197013,0.0000000000,0.0000000000
312,0.198190,0.0000000000,0.0000000000
313,0.197527,0.0000000000,0.0000000000
314,0.196306,0.0000000000,0.0000000000
315,0.193399,0.0000000000,0.0000000000
316,0.198150,0.0000000000,0.0000000000
317,0.197436,0.0000000000,0.0000000000
318,0.198606,0.0000000000,0.0000000000
319,0.199024,0.0000000000,0.0000000000
320,0.199084,0.0000000000,0.0000000000
321,0.197398,0.0000000000,0.0000000000
322,0.197247,0.0000000000,0.0000000000
323,0.198911,0.0000000000,0.0000000000
324,0.197988,0.0000000000,0.0000000000
325,0.192207,0.0000000000,0.0000000000
326,0.198161,0.0000000000,0.0000000000
327,0.197473,0.0000000000,0.0000000000
328,0.196552,0.0000000000,0.0000000000
329,0.197500,0.0000000000,0.0000000000
330,0.198293,0.0000000000,0.0000000000
331,0.199094,0.0000000000,0.0000000000
332,0.199057,0.0000000000,0.0000000000
333,0.199078,0.0000000000,0.0000000000
334,0.189771,0.0000000000,0.0000000000
335,0.197036,0.0000000000,0.0000000000
336,0.195951,0.0000000000,0.0000000000
337,0.197083,0.0000000000,0.0000000000
338,0.198264,0.0000000000,0.0000000000
339,0.194975,0.0000000000,0.0000000000
340,0.199683,0.0000000000,0.0000000000
341,0.191831,0.0000000000,0.0000000000
342,0.197107,0.0000000000,0.0000000000
343,0.198898,0.0000000000,0.0000000000
344,0.193051,0.0000000000,0.0000000000
345,0.195972,0.0000000000,0.0000000000
346,0.198363,0.0000000000,0.0000000000
347,0.198788,0.0000000000,0.0000000000
348,0.198082,0.0000000000,0.0000000000
349,0.194445,0.0000000000,0.0000000000
350,0.197592,0.0000000000,0.0000000000
351,0.197043,0.0000000000,0.0000000000
352,0.195149,0.0000000000,0.0000000000
353,0.197986,0.0000000000,0.0000000000
